,AlphaGenome,Borzoi,Enformer,Evo 2,lentiMPRA
AlphaGenome,1.0,0.5465334819963726,0.5782332176089274,0.004856851360564619,-0.012535096718651472
Borzoi,0.5465334819963726,1.0,0.8129343594694972,-0.04414829216414815,-0.01031014167230911
Enformer,0.5782332176089273,0.8129343594694972,1.0,-0.0703511401214764,-0.011501243573805907
Evo 2,0.004856851360564618,-0.04414829216414815,-0.07035114012147642,1.0,0.0016660123999825754
lentiMPRA,-0.012535096718651472,-0.01031014167230911,-0.011501243573805907,0.0016660123999825754,1.0
