spec,n,rho_mean,rho_hdi_lo,rho_hdi_hi,rho_p_gt_0,rhat
signed: AG+BZ+MB (baseline),3976,-0.01780993863940239,-0.0623515285551548,0.025005973875522614,0.211,0.9993715286254883
signed: drop motifbreakR,3976,-0.020217979326844215,-0.06590312719345093,0.02692597173154354,0.203,0.9990707635879517
signed: leave-out AlphaGenome,3976,0.042115718126297,-0.08882010728120804,0.1793796420097351,0.689,1.0069504976272583
signed: leave-out Borzoi,3976,0.03659377247095108,-0.06678228080272675,0.1548536717891693,0.7,1.0173864364624023
magnitude: AG+BZ,3976,0.05163239687681198,0.005867464002221823,0.0978124737739563,0.985,0.9994274973869324
magnitude: AG+BZ+Enformer,3976,0.04708253592252731,0.004926436115056276,0.08991382271051407,0.982,0.9998982548713684
magnitude: AG+BZ+Enformer+MB,3976,0.047248516231775284,0.0056381830945611,0.08868803083896637,0.986,1.0008130073547363
