model,n,mean_abs,median_abs,rho_reporter,rho_eQTL,DAV_AUROC,rho_phyloP
AlphaGenome,3976,0.04114772461003478,0.019211639650166035,-0.012535096718651472,0.23756303101520065,0.541889338731444,0.0057855093849894295
Borzoi,3976,0.010498163288052665,0.0044374908320605755,-0.01031014167230911,0.27559037259585517,0.5634986504723347,0.04389229448764974
Enformer,3976,0.013433372759969607,0.0046971123665571005,-0.011501243573805907,0.23483369452108535,0.566636302294197,0.03666241252592988
Evo2,3976,1.4600310368047393,1.0132198333740234,0.0016660123999825754,0.03449698150785187,0.48101889338731446,-0.028060491458035186
